generator,switch,accepted,reasoning_tokens,completion_tokens,visible_chars,reasoning_free,max_tokens_respected,overshoot_ratio,finish_reason,cost_usd,usable,error
or-llama31-8b-deepinfra,baseline,True,0,96,509,True,True,1,length,4e-06,True,
or-llama31-8b-deepinfra,reasoning.enabled=false,True,0,96,509,True,True,1,length,4e-06,True,
or-llama31-8b-deepinfra,reasoning.exclude=true,True,0,96,509,True,True,1,length,4e-06,True,
or-llama31-8b-deepinfra,reasoning.effort=none,True,0,96,509,True,True,1,length,4e-06,True,
or-llama31-8b-deepinfra,reasoning_effort=none,True,0,96,509,True,True,1,length,4e-06,True,
or-llama31-8b-deepinfra,include_reasoning=false,True,0,96,509,True,True,1,length,4e-06,True,
or-llama31-8b-deepinfra,chat_template_kwargs.enable_thinking=false,True,0,96,509,True,True,1,length,4e-06,True,
or-llama31-8b-instruct,baseline,True,0,67,389,True,True,0.7,stop,9e-06,True,
or-llama31-8b-instruct,reasoning.enabled=false,True,0,67,389,True,True,0.7,stop,9e-06,True,
or-llama31-8b-instruct,reasoning.exclude=true,True,0,67,389,True,True,0.7,stop,9e-06,True,
or-llama31-8b-instruct,reasoning.effort=none,True,0,67,389,True,True,0.7,stop,9e-06,True,
or-llama31-8b-instruct,reasoning_effort=none,True,0,67,389,True,True,0.7,stop,9e-06,True,
or-llama31-8b-instruct,include_reasoning=false,True,0,67,389,True,True,0.7,stop,9e-06,True,
or-llama31-8b-instruct,chat_template_kwargs.enable_thinking=false,True,0,67,389,True,True,0.7,stop,9e-06,True,
or-qwen3-8b,baseline,True,653,753,546,False,False,7.84,length,0.000347,False,
or-qwen3-8b,reasoning.enabled=false,True,0,96,535,True,True,1,length,4.8e-05,True,
or-qwen3-8b,reasoning.exclude=true,True,653,753,546,False,False,7.84,length,0.000347,False,
or-qwen3-8b,reasoning.effort=none,True,0,96,535,True,True,1,length,4.8e-05,True,
or-qwen3-8b,reasoning_effort=none,True,0,96,535,True,True,1,length,4.8e-05,True,
or-qwen3-8b,include_reasoning=false,True,575,675,534,False,False,7.03,length,0.000311,False,
or-qwen3-8b,chat_template_kwargs.enable_thinking=false,True,709,809,559,False,False,8.43,length,0.000372,False,
or-mistral-nemo-12b,baseline,True,0,96,386,True,True,1,length,1.7e-05,True,
or-mistral-nemo-12b,reasoning.enabled=false,True,0,96,386,True,True,1,length,1.7e-05,True,
or-mistral-nemo-12b,reasoning.exclude=true,True,0,96,386,True,True,1,length,1.6e-05,True,
or-mistral-nemo-12b,reasoning.effort=none,True,0,96,411,True,True,1,length,1.6e-05,True,
or-mistral-nemo-12b,reasoning_effort=none,True,0,96,576,True,True,1,length,1.6e-05,True,
or-mistral-nemo-12b,include_reasoning=false,True,0,96,510,True,True,1,length,1.6e-05,True,
or-mistral-nemo-12b,chat_template_kwargs.enable_thinking=false,True,0,96,500,True,True,1,length,1.6e-05,True,
or-muse-glimmer-30b,baseline,True,0,96,494,True,True,1,length,0.000154,True,
or-muse-glimmer-30b,reasoning.enabled=false,False,,,,,,,,,,"ProviderError: openrouter /completions -> 400: {""error"":{""message"":""Reasoning is mandatory for this endpoint and cannot be disabled."",""code"":400,""metadata"":{""provider_name"":null}}}"
or-muse-glimmer-30b,reasoning.exclude=true,True,139,96,0,False,True,1,length,0.00014,False,
or-muse-glimmer-30b,reasoning.effort=none,False,,,,,,,,,,"ProviderError: openrouter /completions -> 400: {""error"":{""message"":""Reasoning is mandatory for this endpoint and cannot be disabled."",""code"":400,""metadata"":{""provider_name"":null}}}"
or-muse-glimmer-30b,reasoning_effort=none,False,,,,,,,,,,"ProviderError: openrouter /completions -> 400: {""error"":{""message"":""Reasoning is mandatory for this endpoint and cannot be disabled."",""code"":400,""metadata"":{""provider_name"":null}}}"
or-muse-glimmer-30b,include_reasoning=false,True,0,96,459,True,True,1,length,0.000114,True,
or-muse-glimmer-30b,chat_template_kwargs.enable_thinking=false,True,0,96,478,True,True,1,length,0.000114,True,
or-deepseek-v4-flash,baseline,True,95,96,0,False,True,1,length,1.8e-05,False,
or-deepseek-v4-flash,reasoning.enabled=false,True,0,44,270,True,True,0.46,stop,1e-05,True,
or-deepseek-v4-flash,reasoning.exclude=true,True,0,78,438,True,True,0.81,stop,1.5e-05,True,
or-deepseek-v4-flash,reasoning.effort=none,True,0,65,426,True,True,0.68,stop,1.3e-05,True,
or-deepseek-v4-flash,reasoning_effort=none,True,0,19,99,True,True,0.2,stop,6e-06,True,
or-deepseek-v4-flash,include_reasoning=false,True,0,96,497,True,True,1,length,1.8e-05,True,
or-deepseek-v4-flash,chat_template_kwargs.enable_thinking=false,True,0,96,403,True,True,1,length,2e-05,True,
