generator,model_id,available,provider_tag,provider_name,country,quantization,context_length,max_completion_tokens,max_prompt_tokens,status,apis_advertised,completions_advertised,chat_advertised,supports_seed,supports_logprobs,supported_apis,supported_parameters,provider_api,price_native_per_m_input,price_native_per_m_output,price_to_usd,price_usd_per_m_input,price_usd_per_m_output,error
or-mistral-nemo-12b,mistralai/mistral-nemo,True,deepinfra/fp8,DeepInfra,,fp8,131072,16384,,-5,False,,,True,False,,"max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,repetition_penalty,top_k,seed,min_p,response_format,logit_bias",openrouter,0.019,0.03,1,0.019,0.03,
or-mistral-nemo-12b,mistralai/mistral-nemo,True,parasail/fp8,Parasail,,fp8,131072,104857,,0,False,,,True,True,,"max_tokens,temperature,top_p,frequency_penalty,presence_penalty,repetition_penalty,seed,stop,top_k,logit_bias,response_format,structured_outputs,logprobs,top_logprobs",openrouter,0.03,0.03,1,0.03,0.03,
or-mistral-nemo-12b,mistralai/mistral-nemo,True,novita/fp8,Novita,,fp8,60288,16000,,-5,False,,,True,True,,"max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,seed,top_k,repetition_penalty,response_format,structured_outputs,logprobs,top_logprobs",openrouter,0.04,0.17,1,0.04,0.17,
or-mistral-nemo-12b,mistralai/mistral-nemo,True,io-net/fp16,Io Net,,fp16,128000,102400,,0,False,,,True,False,,"max_tokens,temperature,top_p,top_k,stop,frequency_penalty,presence_penalty,seed,tools,tool_choice",openrouter,0.044,0.16,1,0.044,0.16,
or-mistral-nemo-12b,mistralai/mistral-nemo,True,mistral/eu,Mistral,,unknown,131072,104857,,0,False,,,True,False,,"max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,seed,response_format,structured_outputs,tools,tool_choice",openrouter,0.165,0.165,1,0.165,0.165,
or-qwen3-8b,qwen/qwen3-8b,True,alibaba,Alibaba,,unknown,131072,8192,98304,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,seed,presence_penalty,response_format,tools,tool_choice,top_k,frequency_penalty,stop",openrouter,0.117,0.455,1,0.117,0.455,
or-muse-glimmer-30b,meta/muse-glimmer-30b,True,phala,Phala,,unknown,131072,117964,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,seed,top_k,min_p,repetition_penalty,structured_outputs,tools,tool_choice,response_format,reasoning_effort",openrouter,0.3,1.1,1,0.3,1.1,
or-muse-glimmer-30b,meta/muse-glimmer-30b,True,parasail/bf16,Parasail,,bf16,131072,117964,,0,False,,,True,True,,"reasoning,include_reasoning,max_tokens,temperature,top_p,frequency_penalty,presence_penalty,repetition_penalty,seed,stop,top_k,logit_bias,response_format,tools,tool_choice,logprobs,top_logprobs,reasoning_effort",openrouter,0.3,1.1,1,0.3,1.1,
or-muse-glimmer-30b,meta/muse-glimmer-30b,True,deepinfra/bf16,DeepInfra,,bf16,131072,16384,,0,False,,,True,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,repetition_penalty,top_k,seed,min_p,response_format,structured_outputs,tools,tool_choice,logit_bias,reasoning_effort",openrouter,0.3,1.2,1,0.3,1.2,
or-muse-glimmer-30b,meta/muse-glimmer-30b,True,together,Together,,unknown,131072,117964,,0,False,,,False,False,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,top_k,repetition_penalty,logit_bias,min_p,response_format,structured_outputs,tools,tool_choice,reasoning_effort",openrouter,0.35,1.5,1,0.35,1.5,
or-muse-glimmer-30b,meta/muse-glimmer-30b,True,fireworks,Fireworks,,unknown,131072,117964,,0,False,,,False,True,,"reasoning,include_reasoning,max_tokens,temperature,top_p,stop,frequency_penalty,presence_penalty,top_k,repetition_penalty,logit_bias,logprobs,top_logprobs,response_format,structured_outputs,tools,tool_choice,reasoning_effort",openrouter,0.35,1.5,1,0.35,1.5,
or-deepseek-v4-flash,deepseek/deepseek-v4-flash,True,digitalocean,DigitalOcean,,unknown,1048576,943718,,0,False,,,False,True,,"reasoning,include_reasoning,temperature,top_p,max_tokens,tool_choice,tools,structured_outputs,response_format,logprobs,top_logprobs,reasoning_effort",openrouter,0.0679,0.168,1,0.0679,0.168,
